TOA5,,,,
TIMESTAMP(UTC),Ux_6ft3in_Avg,Uy_6ft3in_Avg,Uz_6ft3in_Avg,Ts_6ft3in_Avg
TS,m/s,m/s,m/s,C
,Avg,Avg,Avg,Avg
12-11-10 16:00,-2.804,0.004,0.561,20.04
12-11-10 16:00,-2.378,0.151,0.167,20.12
12-11-10 16:00,-1.764,0.098,0.425,20.53
12-11-10 16:00,-1.673,0.479,0.015,20.64
12-11-10 16:00,-1.745,0.505,0.039,20.05
12-11-10 16:00,-1.658,-0.525,0.358,20.19
12-11-10 16:00,-1.176,0.505,0.523,20.2
12-11-10 16:00,-0.707,-0.283,0.386,20.21
12-11-10 16:00,-0.564,-0.276,0.28,20.32
12-11-10 16:00,-0.72,0.649,0.496,20.57
12-11-10 16:00,-1.017,0.543,0.345,20.37
12-11-10 16:00,-0.907,0.601,0.15,20.73
12-11-10 16:00,-1.65,1.317,0.095,19.73
12-11-10 16:00,-1.862,1.545,0.067,19.7
12-11-10 16:00,-1.339,1.477,-0.028,19.88
12-11-10 16:00,-1.1,1.137,0.262,19.53
12-11-10 16:00,-1.289,0.924,-0.078,20.22
12-11-10 16:00,-1.143,0.929,0.124,19.83
12-11-10 16:00,-1.206,0.989,0.153,19.91
12-11-10 16:00,-1.151,0.741,0.059,19.83
12-11-10 16:00,-1.258,0.765,0,19.95
12-11-10 16:00,-1.062,0.686,0.262,19.91
12-11-10 16:00,-1.098,0.108,0.189,20.82
12-11-10 16:00,-1.078,-0.058,0.004,21
12-11-10 16:00,-0.979,0.277,-0.094,20.76
12-11-10 16:00,-0.99,-0.283,0.156,20.7
12-11-10 16:00,-0.927,-0.312,0.218,21.54
12-11-10 16:00,-0.784,-0.202,0.324,21.81
12-11-10 16:00,-0.66,-0.285,0.636,22.55
12-11-10 16:00,-0.436,0.124,0.422,22.35
12-11-10 16:00,-0.236,-0.102,0.373,21.64
12-11-10 16:00,-0.494,0.074,0.466,22.39
12-11-10 16:00,-0.421,-0.383,0.429,21.55
12-11-10 16:00,-0.636,-0.633,0.578,21.25
12-11-10 16:00,-1.331,-0.826,0.648,19.71
12-11-10 16:00,-1.613,-0.184,0.33,20.98
12-11-10 16:00,-1.697,0.621,0.116,21.91
12-11-10 16:00,-0.725,0.143,0.596,22.39
12-11-10 16:00,-1.415,0.511,0.093,22.03
12-11-10 16:00,-2.614,0.227,-0.154,20.58
12-11-10 16:00,-2.666,0.143,-0.273,20.34
12-11-10 16:00,-2.166,0.878,-0.437,19.58
12-11-10 16:00,-2.149,-0.023,-0.2,20.01
12-11-10 16:00,-2.17,0.35,-0.186,20.34
12-11-10 16:00,-2.575,0.929,-0.203,19.64
12-11-10 16:00,-1.515,0.089,0.016,19.97
12-11-10 16:00,-2.005,0.059,-0.243,19.63
12-11-10 16:00,-2.013,-0.153,-0.057,21.07
12-11-10 16:00,-1.958,0.318,-0.091,20.31
12-11-10 16:00,-1.684,0.409,-0.159,19.56
12-11-10 16:00,-1.555,-0.412,0.386,20.46
12-11-10 16:00,-2.992,-0.424,0.061,20.23
12-11-10 16:00,-3.185,0.848,-0.143,19.57
12-11-10 16:00,-4.173,1.486,-0.204,19.24
12-11-10 16:00,-3.434,0.734,-0.201,19.48
12-11-10 16:00,-2.983,0.326,-0.391,18.76
12-11-10 16:00,-2.688,0.15,-0.179,18.95
12-11-10 16:00,-2.595,1.203,0.059,19.14
12-11-10 16:00,-3.708,1.896,0.155,18.99
12-11-10 16:01,-4.089,2.02,-0.111,18.91
12-11-10 16:01,-4.098,2.152,-0.346,18.59
12-11-10 16:01,-3.872,2.315,-0.21,18.41
12-11-10 16:01,-4.026,2.382,-0.527,18.95
12-11-10 16:01,-3.239,2.395,-0.229,18.78
12-11-10 16:01,-2.539,1.877,0.221,19.23
12-11-10 16:01,-2.556,1.845,0.125,19.38
12-11-10 16:01,-2.985,2.022,-0.125,18.66
12-11-10 16:01,-3.174,1.846,-0.24,18.56
12-11-10 16:01,-2.695,1.957,-0.253,18.39
12-11-10 16:01,-2.392,1.919,-0.568,18.81
12-11-10 16:01,-2.975,1.695,0.164,18.79
12-11-10 16:01,-3.336,1.67,0.01,18.91
12-11-10 16:01,-3.084,1.57,-0.158,18.92
12-11-10 16:01,-3.063,1.494,-0.54,19.04
12-11-10 16:01,-2.736,1.43,-0.237,19.08
12-11-10 16:01,-2.702,1.462,-0.115,19.14
12-11-10 16:01,-2.657,1.467,-0.209,18.96
12-11-10 16:01,-2.401,1.599,-0.236,18.9
12-11-10 16:01,-2.115,1.376,-0.247,18.91
12-11-10 16:01,-2.061,1.149,-0.428,18.98
12-11-10 16:01,-1.612,1.234,-0.375,19.14
12-11-10 16:01,-1.265,1.387,-0.464,18.85
12-11-10 16:01,-0.848,0.965,-0.124,19.12
12-11-10 16:01,-1.035,0.369,-0.099,19.41
12-11-10 16:01,-0.878,0.399,-0.038,19.54
12-11-10 16:01,-1.084,0.765,0.244,19.5
12-11-10 16:01,-0.845,0.489,0.108,19.58
12-11-10 16:01,-0.575,-0.164,0.15,19.72
12-11-10 16:01,-1.016,-0.178,0.595,19.96
12-11-10 16:01,-0.835,-0.243,0.659,20.16
