TIMESTAMP(UTC),Uz_19ft1in_Avg,V_sbg_Avg
TS,m/s,mV
,Avg,Avg
12-11-10 16:00,0.515,0.006
12-11-10 16:00,0.517,0.007
12-11-10 16:00,0.98,0.007
12-11-10 16:00,0.45,0.001
12-11-10 16:00,0.443,0.003
12-11-10 16:00,0.439,0.007
12-11-10 16:00,1.01,0.004
12-11-10 16:00,0.962,0.003
12-11-10 16:00,0.725,0.008
12-11-10 16:00,0.804,0.008
12-11-10 16:00,0.619,0.01
12-11-10 16:00,0.784,0.01
12-11-10 16:00,0.773,0.009
12-11-10 16:00,0.152,0.009
12-11-10 16:00,-0.385,0.012
12-11-10 16:00,-0.329,0.01
12-11-10 16:00,-0.207,0.011
12-11-10 16:00,-0.095,0.012
12-11-10 16:00,0.723,0.011
12-11-10 16:00,0.531,0.011
12-11-10 16:00,0.197,0.012
12-11-10 16:00,0.474,0.013
12-11-10 16:00,0.1,0.006
12-11-10 16:00,-0.593,0.009
12-11-10 16:00,-0.3,0.009
12-11-10 16:00,0.445,0.007
12-11-10 16:00,0.723,0.011
12-11-10 16:00,0.145,0.01
12-11-10 16:00,0.355,0.008
12-11-10 16:00,0.335,0.009
12-11-10 16:00,0.377,0.004
12-11-10 16:00,0.822,0.002
12-11-10 16:00,0.839,0.005
12-11-10 16:00,0.776,0.004
12-11-10 16:00,0.516,0.009
12-11-10 16:00,0.206,0.008
12-11-10 16:00,0.202,0.003
12-11-10 16:00,0.505,0.006
12-11-10 16:00,0.415,0.004
12-11-10 16:00,0.172,0
12-11-10 16:00,-0.278,0.001
12-11-10 16:00,-0.432,0.001
12-11-10 16:00,-0.202,0.002
12-11-10 16:00,-0.517,0.005
12-11-10 16:00,-0.204,0.006
12-11-10 16:00,-0.115,0.004
12-11-10 16:00,-0.104,0.007
12-11-10 16:00,0.163,0.007
12-11-10 16:00,0.212,0.006
12-11-10 16:00,-0.048,0.007
12-11-10 16:00,0.746,0.004
12-11-10 16:00,0.515,-0.006
12-11-10 16:00,0.118,0.001
12-11-10 16:00,0.069,0.004
12-11-10 16:00,-0.584,0.001
12-11-10 16:00,-0.046,0.003
12-11-10 16:00,0.037,0.001
12-11-10 16:00,-0.296,-0.003
12-11-10 16:00,0.084,-0.009
12-11-10 16:01,-0.174,-0.004
12-11-10 16:01,-0.12,0.001
12-11-10 16:01,-0.375,-0.005
12-11-10 16:01,-0.058,-0.005
12-11-10 16:01,-0.266,-0.008
12-11-10 16:01,-0.207,-0.016
12-11-10 16:01,-0.028,0.001
12-11-10 16:01,-0.379,0.006
12-11-10 16:01,-0.536,0.005
12-11-10 16:01,-0.663,0.004
12-11-10 16:01,-0.756,0.001
12-11-10 16:01,-0.425,0.002
12-11-10 16:01,-0.27,0.003
12-11-10 16:01,-0.386,0.007
12-11-10 16:01,-0.523,0.006
12-11-10 16:01,-0.579,0.004
12-11-10 16:01,-0.245,0.003
12-11-10 16:01,-0.05,0.007
12-11-10 16:01,-0.496,0.004
12-11-10 16:01,-0.457,0.005
12-11-10 16:01,-0.421,0.007
12-11-10 16:01,-0.11,0.009
12-11-10 16:01,-0.168,0.008
12-11-10 16:01,0.239,-0.001
12-11-10 16:01,1.417,-0.003
12-11-10 16:01,1.04,0.001
12-11-10 16:01,0.835,0.004
12-11-10 16:01,0.704,0.001
12-11-10 16:01,0.343,0.001
12-11-10 16:01,0.568,0
12-11-10 16:01,0.774,0.003
12-11-10 16:01,0.742,0.006
12-11-10 16:01,0.221,-0.005
12-11-10 16:01,0.01,0.005
12-11-10 16:01,-0.584,0.001
12-11-10 16:01,0.168,0.002
12-11-10 16:01,0.221,0.006
12-11-10 16:01,0.426,0.002
12-11-10 16:01,0.042,0
12-11-10 16:01,0.147,0.005
12-11-10 16:01,0.582,-0.001
12-11-10 16:01,-0.17,0.002
12-11-10 16:01,-0.31,-0.002
12-11-10 16:01,-0.533,0.004
12-11-10 16:01,-0.218,0.002
12-11-10 16:01,-0.097,0.003
12-11-10 16:01,0.026,0.006
12-11-10 16:01,-0.064,0.009
12-11-10 16:01,-0.139,0.007
12-11-10 16:01,-0.37,0.007
12-11-10 16:01,-0.335,0.007
12-11-10 16:01,-0.29,0.005
12-11-10 16:01,-0.365,0.01
12-11-10 16:01,-0.129,0.009
12-11-10 16:01,0.013,0.009
12-11-10 16:01,0.005,0.008
12-11-10 16:01,0.181,0.008
12-11-10 16:01,0.234,0.009
12-11-10 16:01,0.251,0.007
12-11-10 16:01,0.214,0.008
12-11-10 16:02,0.134,0.006
12-11-10 16:02,0.325,0.01
12-11-10 16:02,0.527,0.009
12-11-10 16:02,0.493,0.009
