# zCL(m),wStar(m/s),zi(m),Phi(Km2/s),delTheta(K),Ua(m/s)
1052.308,251.445,840.000,14776.515,3.100,10.000
859.524,191.730,720.000,14006.931,4.289,10.000
883.366,183.806,720.000,14787.176,5.139,10.000
1297.670,280.944,1160.000,16094.016,4.699,10.000
1142.717,325.673,1120.000,13988.197,2.463,10.000
1067.220,245.999,840.000,14491.609,3.247,11.000
879.356,187.038,720.000,15407.346,5.082,11.000
859.863,188.412,720.000,14370.629,4.637,11.000
1217.360,356.927,1160.000,15216.134,2.167,11.000
1182.257,298.015,1120.000,16115.723,3.703,11.000
1025.523,247.004,800.000,14703.057,2.871,12.000
829.628,197.634,680.000,15100.494,3.454,12.000
870.656,189.058,720.000,15651.715,4.999,12.000
1275.189,289.387,1160.000,15442.336,4.126,12.000
1204.951,264.023,1120.000,14923.067,4.932,12.000
1010.595,195.888,680.000,14298.877,3.359,3.000
830.152,142.820,640.000,9809.048,4.624,3.000
836.608,149.231,640.000,11292.548,4.667,3.000
1273.886,257.250,1160.000,10556.553,4.015,3.000
1160.000,269.182,1040.000,11894.658,3.231,3.000
1040.442,189.519,680.000,13421.244,3.482,4.000
849.605,157.606,640.000,13273.525,4.657,4.000
874.956,147.780,640.000,13164.516,5.602,4.000
1279.958,265.867,1080.000,13590.992,4.115,4.000
1160.000,268.191,1040.000,13171.796,3.617,4.000
1160.000,239.738,1040.000,9408.493,3.617,4.000
1160.000,273.320,1040.000,13941.944,3.617,4.000
864.270,118.193,680.000,1561.979,1.670,5.000
780.695,90.010,640.000,1545.817,2.911,5.000
747.311,102.070,640.000,1545.590,1.996,5.000
1127.988,270.168,1160.000,1548.464,0.508,5.000
1045.932,277.171,1040.000,1537.973,0.383,5.000
861.483,114.685,680.000,1383.265,1.619,5.000
763.112,95.401,640.000,1364.339,2.158,5.000
721.149,109.511,640.000,1368.946,1.432,5.000
1120.938,252.512,1160.000,1380.326,0.555,5.000
1062.725,216.193,1040.000,1366.629,0.716,5.000
1085.792,223.565,680.000,23524.220,3.717,5.000
866.926,186.682,640.000,23579.694,4.978,5.000
843.147,190.678,640.000,23583.866,4.672,5.000
1295.382,319.434,1160.000,23505.476,4.669,5.000
1160.952,325.948,1040.000,23599.588,3.610,5.000
2252.404,603.670,2000.000,22139.096,1.481,5.000
1020.943,210.384,640.000,57444.159,8.472,5.000
1030.736,205.580,640.000,55774.804,8.816,5.000
1390.027,408.420,1160.000,74483.624,7.079,5.000
1250.835,337.867,1040.000,65766.972,9.033,5.000
1726.787,450.908,1240.000,63789.678,5.051,5.000
691.761,135.821,680.000,338.134,0.238,5.000
666.608,83.403,640.000,215.709,0.511,5.000
618.487,103.584,600.000,257.945,0.228,5.000
1033.800,140.496,1040.000,298.699,0.571,5.000
889.519,143.473,680.000,3190.680,1.908,5.000
782.182,109.931,640.000,3034.768,3.137,5.000
