height,R0,R1,R2,R3,R4,R5,R6
0,302.72,292.66,297.71,299.02,295.11,300.79,296.69
20,302.19,292.13,297.16,298.5,294.55,300.31,296.23
40,301.66,291.6,296.62,297.99,294,299.84,295.78
60,301.55,291.52,296.52,297.9,293.9,299.72,295.68
80,301.45,291.43,296.43,297.8,293.81,299.6,295.58
100,301.42,291.41,296.41,297.78,293.78,299.57,295.55
120,301.4,291.39,296.38,297.75,293.76,299.54,295.53
140,301.39,291.39,296.38,297.74,293.75,299.52,295.51
160,301.39,291.38,296.37,297.73,293.74,299.51,295.5
180,301.38,291.38,296.37,297.73,293.73,299.5,295.49
200,301.38,291.38,296.37,297.73,293.72,299.5,295.48
220,301.38,291.38,296.37,297.73,293.72,299.49,295.47
240,301.37,291.38,296.37,297.73,293.72,299.49,295.47
260,301.37,291.38,296.37,297.73,293.72,299.48,295.47
280,301.37,291.38,296.37,297.73,293.73,299.48,295.47
300,301.37,291.38,296.37,297.73,293.73,299.48,295.47
320,301.38,291.38,296.37,297.72,293.73,299.47,295.46
340,301.38,291.38,296.37,297.72,293.73,299.47,295.46
360,301.38,291.38,296.37,297.72,293.73,299.47,295.46
380,301.39,291.38,296.37,297.71,293.73,299.46,295.46
400,301.39,291.39,296.37,297.71,293.73,299.46,295.46
420,301.4,291.39,296.38,297.71,293.73,299.46,295.46
440,301.4,291.4,296.38,297.71,293.73,299.46,295.46
460,301.4,291.41,296.39,297.7,293.73,299.45,295.46
480,301.41,291.42,296.4,297.7,293.73,299.45,295.46
500,301.42,291.43,296.42,297.7,293.73,299.45,295.45
520,301.43,291.44,296.43,297.7,293.73,299.45,295.45
540,301.44,291.46,296.46,297.69,293.73,299.45,295.45
560,301.45,291.47,296.48,297.69,293.73,299.45,295.45
580,301.47,291.51,296.53,297.69,293.73,299.45,295.44
600,301.49,291.54,296.57,297.69,293.73,299.45,295.44
620,301.52,291.63,296.67,297.7,293.73,299.45,295.44
640,301.55,291.71,296.77,297.7,293.74,299.45,295.43
660,301.6,291.93,297.02,297.7,293.74,299.45,295.43
680,301.65,292.16,297.27,297.7,293.74,299.45,295.43
700,301.73,292.57,297.71,297.71,293.74,299.45,295.42
720,301.8,292.98,298.15,297.71,293.75,299.45,295.42
740,301.96,293.52,298.7,297.71,293.75,299.45,295.42
760,302.12,294.05,299.25,297.72,293.75,299.45,295.42
780,302.32,294.63,299.81,297.72,293.75,299.45,295.42
800,302.53,295.21,300.37,297.73,293.76,299.45,295.42
820,302.75,295.72,300.84,297.73,293.76,299.45,295.42
840,302.98,296.23,301.3,297.74,293.76,299.45,295.42
860,303.2,296.7,301.74,297.75,293.77,299.45,295.41
880,303.43,297.16,302.17,297.75,293.78,299.45,295.41
900,303.63,297.6,302.59,297.76,293.79,299.45,295.41
920,303.83,298.04,303.01,297.77,293.8,299.45,295.41
940,304.03,298.45,303.41,297.79,293.82,299.45,295.41
960,304.22,298.86,303.81,297.8,293.83,299.45,295.41
980,304.42,299.26,304.21,297.82,293.89,299.45,295.41
1000,304.61,299.67,304.61,297.83,293.94,299.45,295.41
1020,304.79,300.07,305.01,297.87,294.05,299.45,295.41
1040,304.98,300.48,305.41,297.91,294.17,299.45,295.41
1060,305.16,300.9,305.84,297.98,294.41,299.45,295.41
1080,305.34,301.33,306.26,298.05,294.65,299.46,295.41
1100,305.51,301.78,306.7,298.15,295.27,299.46,295.41
1120,305.68,302.22,307.13,298.26,295.9,299.46,295.41
1140,305.84,302.7,307.6,298.53,296.71,299.46,295.41
1160,305.99,303.18,308.06,298.81,297.52,299.46,295.41
1180,306.15,303.66,308.53,299.14,298.69,299.46,295.41
1200,306.3,304.15,309,299.48,299.86,299.46,295.41
1220,306.45,304.64,309.48,300.11,301,299.46,295.41
1240,306.59,305.13,309.95,300.75,302.13,299.46,295.41
1260,306.74,305.59,310.39,301.38,303.12,299.46,295.41
1280,306.89,306.04,310.83,302.01,304.1,299.46,295.41
1300,307.04,306.49,311.26,302.62,305,299.46,295.41
1320,307.19,306.93,311.69,303.23,305.9,299.46,295.41
1340,307.34,307.33,312.07,303.78,306.64,299.46,295.42
1360,307.49,307.72,312.45,304.32,307.39,299.46,295.42
1380,307.66,308.1,312.82,304.75,308.11,299.47,295.42
1400,307.82,308.49,313.19,305.18,308.82,299.47,295.42
1420,307.99,308.85,313.54,305.58,309.51,299.47,295.42
1440,308.16,309.21,313.89,305.98,310.19,299.47,295.42
1460,308.34,309.57,314.23,306.32,310.91,299.47,295.43
1480,308.52,309.93,314.58,306.66,311.63,299.47,295.43
1500,308.71,310.3,314.95,307,312.4,299.48,295.43
1520,308.89,310.67,315.32,307.34,313.17,299.48,295.43
1540,309.08,311.04,315.69,307.66,313.98,299.48,295.43
1560,309.27,311.42,316.06,307.98,314.78,299.48,295.43
